title,location,price
"<h3 itemprop=""name"">Exquisitely Furnished 3 Bedroom Apartment</h3>",VI,"4,500,000"
"<h3 itemprop=""name"">Newly Built 3 Bedroom Apartment</h3>",Lekki,"2,500,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Maryland,"2,000,000"
"<h3 itemprop=""name"">Brand New Tastefully Finished 3 Bedrooms With All Rooms En</h3>",Maryland,"2,000,000"
"<h3 itemprop=""name"">3 Bedroom Flat Newly Renovated</h3>",Ikorodu,"450,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Elegantly Finished And Fully Fitted Luxury 3-bedroom Maisonette</h3>",VI,"12,000,000"
"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">Brand New Luxury 3 Bedroom Apartment With Excellent Finishing</h3>",Lekki,"2,500,000"
"<h3 itemprop=""name"">A Unit Of 3 Bedroom Upper Floor Flat In A Medium Rise Apartment Block</h3>",VI,"2,800,000"
"<h3 itemprop=""name"">3 Bedroom</h3>",Gbagada,"1,100,000"
"<h3 itemprop=""name"">Newly Built And Easily Accessible 3 Bedroom Flat.</h3>",Ikorodu,"500,000"
"<h3 itemprop=""name"">Exquisite 3 Bedroom Flat With State-of-the-art Facilities</h3>",Ikoyi,"11,000,000"
"<h3 itemprop=""name"">3 Bedroom Flat All Room Ensuit Very Specious</h3>",Ajah,"700,000"
"<h3 itemprop=""name"">3 Bedroom Flat Very Specious Well Finished</h3>",Ajah,"850,000"
"<h3 itemprop=""name"">3 Bed Apartment In A Gated Compound With Car Park</h3>",Shomolu,"800,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With Excellent Finishing</h3>",Lekki,"2,200,000"
"<h3 itemprop=""name"">Newly Built 3 Bedroom Flat</h3>",Lekki,"3,000,000"
"<h3 itemprop=""name"">Relatively Clean And Spacious 3 Bedroom</h3>",Lekki,"2,200,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat Ensuite With Necessary Facilities</h3>",Ikorodu,"350,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",VI,"3,500,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With Bq</h3>",Lekki,"3,000,000"
"<h3 itemprop=""name"">Beautiful 3 Bedroom Flat</h3>",Lekki,"3,500,000"
"<h3 itemprop=""name"">3 Bedroom Apartment</h3>",Lekki,"3,500,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat Newly Completed</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Newly Built Self Serviced 3 Bedrooms Flats In A Gated Community</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Clean 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Irresistible 3 Bedroom Apartment With Bq</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With Excellent Finishing</h3>",Lekki,"2,200,000"
"<h3 itemprop=""name"">Newly Built Three Bedrrom Apartment</h3>",Lekki,"800,000"
"<h3 itemprop=""name"">Lovely 3bedroom Flat</h3>",Lekki,"590,000"
"<h3 itemprop=""name"">Newly Renovated And Spacious 4 Nos 3 Bedroom Flat All Room Ensuit</h3>",Lekki,"10,800,000"
"<h3 itemprop=""name"">Service 3 Bedrooms Apartment At Old Ikoyi Lagos</h3>",Lekki,"10,000,000"
"<h3 itemprop=""name"">6 Unit Of 3 Bedroom Flat + Bq, Pool</h3>",Lekki,"3,500,000"
